label	tipo	doc	num
A inteligência artificial tem transformado diversas áre	sentenca	Doc1	1
Algoritmos de aprendizado de máquina já são utilizados 	sentenca	Doc1	2
Especialistas alertam que a regulamentação ética dessas	sentenca	Doc1	3
Pesquisadores brasileiros desenvolveram uma vacina expe	sentenca	Doc2	1
Os testes clínicos foram realizados em parceria com uni	sentenca	Doc2	2
O imunizante deverá passar por aprovação da Anvisa ante	sentenca	Doc2	3
O Brasil registrou recorde de geração de energia solar 	sentenca	Doc3	1
A expansão do setor fotovoltaico criou mais de 200 mil 	sentenca	Doc3	2
Especialistas projetam que a energia solar será a princ	sentenca	Doc3	3
A startup paulista NeuroTech lançou um dispositivo capa	sentenca	Doc4	1
O aparelho utiliza eletrodos não invasivos que captam s	sentenca	Doc4	2
Os primeiros testes com pacientes mostraram resultados 	sentenca	Doc4	3
Cientistas da Universidade de São Paulo identificaram u	sentenca	Doc5	1
O organismo foi encontrado no bioma da Caatinga, em reg	sentenca	Doc5	2
A descoberta pode ser relevante no combate a bactérias 	sentenca	Doc5	3
O governo federal anunciou investimento de R$ 3 bilhões	sentenca	Doc6	1
O programa visa conectar comunidades remotas que ainda 	sentenca	Doc6	2
A iniciativa faz parte do Plano Nacional de Conectivida	sentenca	Doc6	3
Robôs autônomos já são utilizados em operações de resga	sentenca	Doc7	1
Os equipamentos conseguem acessar áreas de risco sem ex	sentenca	Doc7	2
No Brasil, o Corpo de Bombeiros avalia adotar tecnologi	sentenca	Doc7	3
A computação quântica avançou significativamente com o 	sentenca	Doc8	1
O chip consegue realizar cálculos complexos em frações 	sentenca	Doc8	2
Aplicações em criptografia e desenvolvimento de fármaco	sentenca	Doc8	3
Estudo publicado na revista Nature aponta que o desmata	sentenca	Doc9	1
A perda de cobertura florestal reduz a umidade transpor	sentenca	Doc9	2
Os pesquisadores alertam para impactos severos na agric	sentenca	Doc9	3
O Instituto Nacional de Pesquisas Espaciais lançou com 	sentenca	Doc10	1
O equipamento brasileiro é capaz de identificar focos d	sentenca	Doc10	2
Os dados coletados serão disponibilizados gratuitamente	sentenca	Doc10	3
Pesquisas indicam que o uso de chatbots no atendimento 	sentenca	Doc11	1
As ferramentas baseadas em processamento de linguagem n	sentenca	Doc11	2
Empresas brasileiras de telecomunicações lideram a adoç	sentenca	Doc11	3
A Fiocruz concluiu testes de um kit diagnóstico rápido 	sentenca	Doc12	1
O exame apresenta sensibilidade de 94% e pode ser reali	sentenca	Doc12	2
O desenvolvimento reduziria a dependência de importaçõe	sentenca	Doc12	3
Pesquisadores da UNICAMP criaram um material biodegradá	sentenca	Doc13	1
O produto é derivado do bagaço de cana-de-açúcar e se d	sentenca	Doc13	2
A invenção foi reconhecida com prêmio internacional de 	sentenca	Doc13	3
O Ministério da Saúde incorporou ao SUS um novo medicam	sentenca	Doc14	1
O fármaco já havia sido aprovado pela Anvisa em 2022 e 	sentenca	Doc14	2
Estima-se que 600 mil brasileiros serão beneficiados no	sentenca	Doc14	3
Veículos elétricos tiveram crescimento de 78% nas venda	sentenca	Doc15	1
A expansão é impulsionada pela queda nos preços das bat	sentenca	Doc15	2
Montadoras nacionais anunciaram planos de eletrificar 3	sentenca	Doc15	3
A Embrapa desenvolveu uma variedade de soja resistente 	sentenca	Doc16	1
A cultivar passou por testes em áreas do Cerrado e do S	sentenca	Doc16	2
Os agricultores que adotarem a nova semente poderão red	sentenca	Doc16	3
Neurologistas brasileiros publicaram estudo sobre o uso	sentenca	Doc17	1
A técnica utiliza pulsos magnéticos para modular a ativ	sentenca	Doc17	2
Pacientes submetidos ao protocolo apresentaram melhora 	sentenca	Doc17	3
Uma plataforma digital desenvolvida por pesquisadores d	sentenca	Doc18	1
Sensores instalados em pontos estratégicos enviam dados	sentenca	Doc18	2
O sistema já está em operação na bacia do rio Paraíba d	sentenca	Doc18	3
O telescópio espacial James Webb capturou as imagens ma	sentenca	Doc19	1
As fotografias revelam estruturas nunca observadas ante	sentenca	Doc19	2
Astrônomos da NASA afirmam que os dados podem reescreve	sentenca	Doc19	3
Aplicativos de saúde mental cresceram 120% em downloads	sentenca	Doc20	1
Plataformas de telepsicologia e meditação guiada lidera	sentenca	Doc20	2
Especialistas ressaltam que os aplicativos são compleme	sentenca	Doc20	3
A CAPES anunciou abertura de 5.000 novas bolsas de pesq	sentenca	Doc21	1
O edital prioritiza projetos com potencial de aplicação	sentenca	Doc21	2
Universidades federais de todas as regiões do país pode	sentenca	Doc21	3
Cientistas identificaram microplásticos em amostras de 	sentenca	Doc22	1
A pesquisa, inédita no país, detectou partículas de pol	sentenca	Doc22	2
Os pesquisadores alertam para necessidade de políticas 	sentenca	Doc22	3
O Brasil assumiu a presidência do G20 com agenda focada	sentenca	Doc23	1
O país propõe criação de um fundo global para financiar	sentenca	Doc23	2
A iniciativa brasileira recebeu apoio inicial de mais d	sentenca	Doc23	3
Pesquisadores da Universidade Federal de Minas Gerais m	sentenca	Doc24	1
O micro-organismo demonstrou capacidade de decompor pes	sentenca	Doc24	2
A descoberta abre perspectivas para biorremediação de á	sentenca	Doc24	3
O uso de drones na agricultura de precisão aumentou a p	sentenca	Doc25	1
Os equipamentos são utilizados para pulverização de def	sentenca	Doc25	2
O custo das operações com drones é 60% menor em compara	sentenca	Doc25	3
Estudo coordenado pelo Instituto Butantan revelou mecan	sentenca	Doc26	1
A pesquisa identificou uma proteína presente no veneno 	sentenca	Doc26	2
O achado poderá ser base para desenvolvimento de novos 	sentenca	Doc26	3
A Agência Espacial Brasileira firmou parceria com a ESA	sentenca	Doc27	1
Os equipamentos serão fabricados por equipes de estudan	sentenca	Doc27	2
O primeiro lançamento está previsto para 2025, a bordo 	sentenca	Doc27	3
Pesquisadores da USP desenvolveram um algoritmo capaz d	sentenca	Doc28	1
O sistema de inteligência artificial analisa padrões de	sentenca	Doc28	2
O diagnóstico precoce pode ampliar significativamente a	sentenca	Doc28	3
A produção de hidrogênio verde no Brasil deve movimenta	sentenca	Doc29	1
O país possui condições climáticas favoráveis para gera	sentenca	Doc29	2
Complexos industriais no Ceará e Rio Grande do Norte já	sentenca	Doc29	3
Cientistas brasileiros e canadenses desenvolveram uma p	sentenca	Doc30	1
O dispositivo usa sensores de eletromiografia para capt	sentenca	Doc30	2
Testes com 12 pacientes amputados mostraram que 90% con	sentenca	Doc30	3
DOC1	documento	Doc1	-
DOC2	documento	Doc2	-
DOC3	documento	Doc3	-
DOC4	documento	Doc4	-
DOC5	documento	Doc5	-
DOC6	documento	Doc6	-
DOC7	documento	Doc7	-
DOC8	documento	Doc8	-
DOC9	documento	Doc9	-
DOC10	documento	Doc10	-
DOC11	documento	Doc11	-
DOC12	documento	Doc12	-
DOC13	documento	Doc13	-
DOC14	documento	Doc14	-
DOC15	documento	Doc15	-
DOC16	documento	Doc16	-
DOC17	documento	Doc17	-
DOC18	documento	Doc18	-
DOC19	documento	Doc19	-
DOC20	documento	Doc20	-
DOC21	documento	Doc21	-
DOC22	documento	Doc22	-
DOC23	documento	Doc23	-
DOC24	documento	Doc24	-
DOC25	documento	Doc25	-
DOC26	documento	Doc26	-
DOC27	documento	Doc27	-
DOC28	documento	Doc28	-
DOC29	documento	Doc29	-
DOC30	documento	Doc30	-
